TITLE	
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	20/01/21
TIME	10:59:54
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	0.964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  399.1927
LASTX	 4000.6047
NPOINTS	    3736
FIRSTY	    95.76181
MAXY	    99.77000
MINY	    86.11848
XYDATA
656.6430	96.7898
657.6072	96.7828
658.5715	96.7743
659.5357	96.7642
660.4999	96.7525
661.4642	96.7392
662.4284	96.7246
663.3926	96.7091
664.3569	96.6933
665.3211	96.6779
666.2853	96.6638
667.2496	96.6521
668.2138	96.6437
669.1780	96.6387
670.1423	96.6367
671.1065	96.6368
672.0707	96.6378
673.0350	96.6392
673.9992	96.6406
674.9634	96.6421
675.9277	96.6437
676.8919	96.6459
677.8561	96.6488
678.8204	96.6529
679.7846	96.6582
680.7488	96.6647
681.7131	96.6721
682.6773	96.6799
683.6415	96.6879
684.6058	96.6958
685.5700	96.7031
686.5342	96.7097
687.4985	96.7157
688.4627	96.7215
689.4269	96.7276
690.3912	96.7347
691.3554	96.743
692.3196	96.7526
693.2839	96.7635
694.2481	96.7758
695.2123	96.7893
696.1766	96.8042
697.1408	96.8203
698.1050	96.8377
699.0693	96.8565
700.0335	96.8768
700.9977	96.8987
701.9620	96.9222
702.9262	96.9472
703.8904	96.9735
704.8547	97.0007
705.8189	97.0286
706.7831	97.057
707.7474	97.0858
708.7116	97.115
709.6758	97.1445
710.6401	97.1743
711.6043	97.2043
712.5685	97.2344
713.5328	97.2643
714.4970	97.2938
715.4612	97.323
716.4255	97.3516
717.3897	97.3795
718.3539	97.4062
719.3182	97.4316
720.2824	97.4553
721.2466	97.4775
722.2109	97.4982
723.1751	97.5178
724.1393	97.5366
725.1036	97.5546
726.0678	97.5718
727.0320	97.5883
727.9963	97.6039
728.9605	97.6187
729.9247	97.6329
730.8890	97.6467
731.8532	97.66
732.8174	97.6727
733.7817	97.6846
734.7459	97.6959
735.7101	97.7065
736.6744	97.717
737.6386	97.7277
738.6028	97.7389
739.5671	97.7508
740.5313	97.7633
741.4955	97.7762
742.4598	97.7893
743.4240	97.8025
744.3882	97.8158
745.3525	97.8293
746.3167	97.8432
747.2809	97.8574
748.2452	97.8718
749.2094	97.8867
750.1736	97.9018
751.1379	97.9174
752.1021	97.9334
753.0663	97.9497
754.0306	97.9662
754.9948	97.9827
755.9590	97.999
756.9233	98.015
757.8875	98.0308
758.8517	98.0464
759.8160	98.0619
760.7802	98.0773
761.7444	98.0928
762.7087	98.1082
763.6729	98.1237
764.6371	98.139
765.6014	98.154
766.5656	98.1687
767.5298	98.1828
768.4941	98.1963
769.4583	98.2093
770.4225	98.222
771.3868	98.2345
772.3510	98.247
773.3152	98.2598
774.2795	98.2728
775.2437	98.2861
776.2079	98.2996
777.1722	98.3131
778.1364	98.3267
779.1006	98.3402
780.0649	98.3536
781.0291	98.3669
781.9933	98.3801
782.9576	98.3935
783.9218	98.4071
784.8860	98.4212
785.8503	98.4359
786.8145	98.4515
787.7787	98.4677
788.7430	98.4847
789.7072	98.5022
790.6714	98.52
791.6357	98.5381
792.5999	98.5565
793.5641	98.575
794.5284	98.5938
795.4926	98.6129
796.4568	98.6325
797.4211	98.6526
798.3853	98.6734
799.3495	98.6948
800.3138	98.7167
801.2780	98.7391
802.2422	98.7619
803.2065	98.785
804.1707	98.8083
805.1349	98.8319
806.0992	98.8558
807.0634	98.8799
808.0276	98.9042
808.9919	98.9288
809.9561	98.9534
810.9203	98.9781
811.8846	99.0025
812.8488	99.0265
813.8130	99.0501
814.7773	99.0731
815.7415	99.0954
816.7057	99.1169
817.6700	99.1376
818.6342	99.1574
819.5984	99.1764
820.5627	99.1944
821.5269	99.2113
822.4911	99.2271
823.4554	99.2416
824.4196	99.2548
825.3839	99.2667
826.3481	99.2774
827.3123	99.287
828.2766	99.2956
829.2408	99.3035
830.2050	99.3105
831.1693	99.3168
832.1335	99.3222
833.0977	99.3268
834.0620	99.3305
835.0262	99.3334
835.9904	99.3353
836.9547	99.3365
837.9189	99.3369
838.8831	99.3366
839.8474	99.3358
840.8116	99.3343
841.7758	99.3322
842.7401	99.3294
843.7043	99.3258
844.6685	99.3214
845.6328	99.316
846.5970	99.3095
847.5612	99.302
848.5255	99.2936
849.4897	99.2844
850.4539	99.2746
851.4182	99.2645
852.3824	99.254
853.3466	99.243
854.3109	99.2314
